coord_lat,coord_lon,weather_id,weather_main,weather_description,weather_icon,base,main_temp,main_pressure,main_humidity,main_temp_min,main_temp_max,visibility,wind_speed,wind_deg,clouds_all,dt,sys_type,sys_id,sys_message,sys_country,sys_sunrise,sys_sunset,timezone,id,name,cod
-0.92,100.36,802,Clouds,scattered clouds,03n,stations,79.06,1014.02,82,79.06,79.06,,11.36,156.299,43,1569947033,,,0.0066,ID,1569884691,1569928313,25200,1633419,Padang,200
59.95,56.29,500,Rain,light rain,10n,stations,48.28,1005.87,88,48.28,48.28,,12.55,196.894,100,1569947033,,,0.0068,RU,1569896330,1569937823,18000,551047,Kerchevskiy,200
-8.11,115.08,804,Clouds,overcast clouds,04n,stations,79.06,1014.43,79,79.06,79.06,,8.86,224.007,97,1569947034,,,0.0066,ID,1569967434,1570011266,28800,1626932,Singaraja,200
-39.03,-67.58,800,Clear,clear sky,01d,stations,55.4,1016,58,55.4,55.4,10000,12.75,270,0,1569947034,1,8310,0.0081,AR,1569924328,1569969269,-10800,3855065,General Roca,200
54.13,-108.44,801,Clouds,few clouds,02d,stations,35.6,1023,80,35.6,35.6,24140,3.36,160,20,1569947034,1,833,0.0066,CA,1569935723,1569977483,-21600,6071421,Meadow Lake,200
43.41,-124.22,800,Clear,clear sky,01d,stations,45.34,1021,93,42.01,48,16093,5.82,,1,1569947035,1,5239,0.0063,US,1569939243,1569981534,-25200,5742974,North Bend,200
-33.86,121.89,803,Clouds,broken clouds,04n,stations,53.6,1021,100,53.6,53.6,10000,6.93,50,75,1569947035,1,9525,0.0076,AU,1569965339,1570010094,28800,2071860,Esperance,200
39.81,-121.58,800,Clear,clear sky,01d,stations,52.27,1016,70,48.2,57,64372,8.05,310,5,1569946932,1,3626,0.0059,US,1569938538,1569980973,-25200,5369690,Magalia,200
-35.55,138.62,800,Clear,clear sky,01n,stations,71.1,1018,14,68,75.2,10000,14.99,40,0,1569947035,1,9566,0.0066,AU,1569961287,1570006116,34200,2059470,Victor Harbor,200
-3.28,-39.27,802,Clouds,scattered clouds,03d,stations,88.96,1010.8,43,88.96,88.96,,10.54,97.285,35,1569947036,,,0.0058,BR,1569918163,1569961848,-10800,3386177,Trairi,200
46.45,135.83,800,Clear,clear sky,01n,stations,58.9,1017.03,75,58.9,58.9,,5.93,176.972,0,1569947036,,,0.014,RU,1569963320,1570005423,36000,2013279,Vostok,200
43.06,-86.23,500,Rain,light rain,10d,stations,73.47,1014,83,69.8,78.01,16093,4.7,180,90,1569946759,1,4912,0.0092,US,1569930111,1569972436,-14400,4994325,Grand Haven,200
17.01,54.1,803,Clouds,broken clouds,04n,stations,80.6,1010,83,80.6,80.6,10000,8.05,190,75,1569947037,1,7562,0.0065,OM,1569896015,1569939189,14400,286621,Salalah,200
35.58,53.39,800,Clear,clear sky,01n,stations,78.8,1014,24,78.8,78.8,10000,0.87,340.296,0,1569947037,1,7476,0.006,IR,1569896446,1569939099,12600,116402,Semnan,200
14.12,15.31,800,Clear,clear sky,01d,stations,100.66,1004.45,23,100.66,100.66,,9.44,126.104,6,1569947038,,,0.0068,TD,1569905289,1569948531,3600,2428394,Mao,200
-19.55,169.27,803,Clouds,broken clouds,04n,stations,71.6,1016,83,71.6,71.6,10000,23.4,141.51,75,1569947038,1,7317,0.0062,VU,1569954256,1569998439,39600,2136825,Isangel,200
42.68,126.04,800,Clear,clear sky,01n,stations,59.8,1017.28,73,59.8,59.8,,5.46,176.01,0,1569947038,,,0.0058,CN,1569965586,1570007855,28800,2038118,Huinan,200
60.4,-1.35,500,Rain,light rain,10d,stations,46.4,1005,70,46.4,46.4,10000,19.46,330,17,1569947038,1,1447,0.0073,GB,1569910204,1569951610,3600,2654970,Brae,200
44.03,145.86,802,Clouds,scattered clouds,03n,stations,60.88,1019.93,90,60.88,60.88,,9.57,204.848,47,1569947039,,,0.0058,RU,1569960855,1570003075,36000,2119447,Yuzhno-Kurilsk,200
52.14,-10.27,802,Clouds,scattered clouds,03d,stations,59,1009,62,59,59,10000,10.29,350,40,1569947039,1,1552,0.0066,IE,1569912076,1569954019,3600,2964782,Dingle,200
65.28,-126.83,803,Clouds,broken clouds,04d,stations,44.6,1010,81,44.6,44.6,48279,2.24,,75,1569947039,1,951,0.0075,CA,1569940615,1569981415,-21600,6089245,Norman Wells,200
-1.53,-52.58,802,Clouds,scattered clouds,03d,stations,93.1,1009.63,44,93.1,93.1,,5.66,98.576,25,1569947040,,,0.0077,BR,1569921380,1569965019,-10800,3407903,Almeirim,200
13.3,-4.9,803,Clouds,broken clouds,04d,stations,97.6,1005.49,32,97.6,97.6,,12.68,133.692,56,1569947040,,,0.0058,ML,1569910129,1569953389,0,2451778,San,200
27.87,-0.29,800,Clear,clear sky,01d,stations,105.8,1013,6,105.8,105.8,10000,6.93,20,0,1569947040,1,1098,0.0057,DZ,1569909218,1569952088,3600,2508813,Adrar,200
19.41,-99.19,802,Clouds,scattered clouds,03d,stations,65.93,1026,59,60.8,69.8,12874,4.7,100,40,1569947041,1,7146,0.0064,MX,1569932841,1569975925,-18000,3827408,Miguel Hidalgo,200
-20.21,57.76,801,Clouds,few clouds,02n,stations,73.18,1020,78,73,73.4,10000,8.05,90,20,1569947041,1,2061,0.0069,MU,1569894645,1569938803,14400,1106643,Quatre Cocos,200
39.12,66.88,803,Clouds,broken clouds,04n,stations,59,1016,62,59,59,6000,4.7,150,74,1569947042,1,9013,0.007,UZ,1569893265,1569935806,18000,1216187,Kitab,200
-11.1,-77.61,804,Clouds,overcast clouds,04d,stations,61.6,1015.98,91,61.6,61.6,,10.42,153.473,100,1569947042,,,0.0083,PE,1569927253,1569971157,-18000,3939761,Hualmay,200
63.9,122.77,803,Clouds,broken clouds,04n,stations,25.24,1017.47,74,25.24,25.24,,6.24,295.978,76,1569947043,,,0.0057,RU,1569967086,1570007924,32400,2021017,Kysyl-Syr,200
35.74,139.53,800,Clear,clear sky,01n,stations,70.45,1023,82,64.99,73.99,16093,3.36,270,1,1569947043,1,8073,0.0148,JP,1569962210,1570004757,32400,1850144,Nishihara,200
61.99,-49.67,803,Clouds,broken clouds,04d,stations,42.34,1006.98,59,42.34,42.34,,5.7,342.867,54,1569947043,,,0.0071,GL,1569921890,1569963113,-7200,3421193,Paamiut,200
61.47,-6.81,801,Clouds,few clouds,02d,stations,45.58,1013.03,68,45.58,45.58,,22.19,351.3,15,1569947044,,,0.0066,FO,1569911562,1569952872,3600,2610806,Vagur,200
